method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std
cwscf_full,extrapolation,1.0,0.6606049465240642,0.04144873343234559,0.27814062540329587,0.01814774501478862,0.47591387227849025,0.032346752368690584,0.2211067880700588,0.014608772039268187,0.6342195082551734,0.028272922577767735,27200.0,0.0
cwscf_full,interpolation,1.0,0.6365113636363637,0.02823569629838345,0.43855033858172354,0.048704648182797315,0.40512129509306277,0.03708540627381964,0.3909503282226428,0.04427472706071914,0.6554655638290461,0.028023459704928495,8000.0,0.0
cwscf_margin,extrapolation,0.01,0.8128342245989305,0.21428780903049002,0.4693413870272423,0.14909991444322535,0.4122913070739312,0.3279961413297849,0.43931505187232545,0.17434229116627903,0.7687706721870313,0.24960850728402553,272.0,0.0
cwscf_margin,extrapolation,0.02,0.8263703208556149,0.14751620883583783,0.40476112776273987,0.14657673666432816,0.5732576273750071,0.26520246591379876,0.3793620669140641,0.1562073906951549,0.7797949247206923,0.18663615309786397,544.0,0.0
cwscf_margin,extrapolation,0.03,0.8190730837789661,0.1011608905928424,0.3953218539283805,0.1344681763146855,0.6325805754319096,0.17044020413495148,0.3668750589136167,0.14556862270190432,0.7681711654702457,0.13222311187595273,816.0,0.0
cwscf_margin,extrapolation,0.05,0.8306818181818181,0.06889677703273632,0.35376707970227,0.07561092828709899,0.6535052182173714,0.12604280617088706,0.3221001800279221,0.06998622380058238,0.780319465958073,0.08977358389740879,1360.0,0.0
cwscf_margin,extrapolation,0.08,0.8427473262032085,0.060285927059598246,0.33210174911891993,0.06141136371741727,0.6788047153234866,0.09076322954404657,0.3067078237160104,0.04939901435846562,0.7961140196062907,0.0769750347254813,2176.0,0.0
cwscf_margin,extrapolation,0.1,0.849331550802139,0.058474797666131326,0.33435769658501663,0.06472093714299974,0.6948478290805955,0.07979559382819595,0.3129067516940052,0.05208278010480521,0.8052786049422642,0.07406286695543167,2720.0,0.0
cwscf_margin,extrapolation,0.2,0.8514371657754011,0.06105636022349959,0.323215463639809,0.03374664094339441,0.7205868255261044,0.050395328686064854,0.2967131301595373,0.0301844254205018,0.8113313684850478,0.07495997725529877,5440.0,0.0
cwscf_margin,extrapolation,0.3,0.8401960784313726,0.06288185922756591,0.3231865505254185,0.03217625210415853,0.708867798448254,0.0507743575280478,0.29194984940225877,0.03282986080954942,0.8008306515006676,0.07366495675358753,8160.0,0.0
cwscf_margin,extrapolation,0.4,0.8237215909090909,0.05838294988051685,0.32057144255275577,0.03597374261436503,0.6810166113895089,0.04784040485649679,0.28346886373748353,0.03590238960965039,0.7843995101974328,0.06515437351531975,10880.0,0.0
cwscf_margin,extrapolation,0.5,0.8032419786096257,0.0564689266619968,0.3204898588473206,0.034382920785284043,0.6506379323323236,0.04682212855065168,0.2768830090472329,0.030132510247556712,0.7651860035778925,0.058693818769192684,13600.0,0.0
cwscf_margin,interpolation,0.01,0.946590909090909,0.07907490694961904,0.7662361768422374,0.2211348365895212,0.6564457580941573,0.37266192033976236,0.7581345061130822,0.23225369011765856,0.926038969393243,0.11036620588240519,80.0,0.0
cwscf_margin,interpolation,0.02,0.9471590909090909,0.0684860636121752,0.7267673390871553,0.17629403387060708,0.8028129191923018,0.19636229098778088,0.7090232945134654,0.18992115971908324,0.9326913553359283,0.08518271964216492,160.0,0.0
cwscf_margin,interpolation,0.03,0.940530303030303,0.06553971731289772,0.6512479952425204,0.16127669184364965,0.7685018835089518,0.15813200054892937,0.6241002967789986,0.17692410510604573,0.9301651206899543,0.07186010544670256,240.0,0.0
cwscf_margin,interpolation,0.05,0.9365909090909091,0.06270239954811067,0.5573692130879538,0.09448668966143249,0.7519904661452429,0.18202368647990472,0.5302032281630652,0.10059706782080119,0.9302774637219613,0.06104792349750063,400.0,0.0
cwscf_margin,interpolation,0.08,0.9251420454545454,0.05731395916155791,0.5273072726451691,0.11615178533916642,0.7097940361984253,0.17184297744349417,0.5153678033681444,0.13299429122692752,0.9156388389186375,0.053865157893806984,640.0,0.0
cwscf_margin,interpolation,0.1,0.9212499999999999,0.05406015168310204,0.5318389196737685,0.12830905622328856,0.7084135876556309,0.17122180291818093,0.5218189772797973,0.14553698467065315,0.9105192474194213,0.05068793642705239,800.0,0.0
cwscf_margin,interpolation,0.2,0.8910227272727272,0.03784556687140756,0.5378523811063523,0.13830314343227518,0.695950969242294,0.12944321000377113,0.5207377695360033,0.1145466316187914,0.8817876725255455,0.038468505133848634,1600.0,0.0
cwscf_margin,interpolation,0.3,0.8557954545454546,0.03580738137041108,0.5455381023035548,0.12614363114202878,0.6542243216513187,0.10192225399554561,0.5231200919967809,0.10967972067991529,0.8496101131003996,0.03652695465992279,2400.0,0.0
cwscf_margin,interpolation,0.4,0.8211647727272727,0.035200899676971084,0.5242312259415084,0.11256432687607873,0.6129196743504601,0.06306032664124506,0.4808752673066234,0.08731454667571927,0.8180498934327616,0.03383750989133417,3200.0,0.0
cwscf_margin,interpolation,0.5,0.78675,0.03560214178950476,0.5027984816739199,0.08928233894656933,0.5697860594179338,0.052877270564614255,0.46460176022831695,0.0907439317972498,0.7876743158528531,0.03249529935632802,4000.0,0.0
