method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std,retained_trees_mean,retained_trees_std,synthetic_rows_mean,synthetic_rows_std,train_time_mean,train_time_std
drf_de_full,extrapolation,1.0,0.550437062937063,0.08190119520467828,0.2084345021315974,0.015332461643615118,0.3665375552142583,0.06422366831275739,0.17521712045038795,0.010701934826046691,0.5705160529210846,0.052015245003887656,31200.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_full,interpolation,1.0,0.5255,0.07176940068720097,0.3146643649392967,0.04911075704609993,0.30641146800681196,0.05942654999584448,0.2478639575680419,0.034262271414211655,0.5754828743392939,0.05586310048080757,8000.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.01,0.4627039627039627,0.345911218170926,0.2740418602942102,0.15076862466735588,0.29528592606630044,0.2270331895764193,0.1943470403543546,0.1745940290097678,0.49454481399531064,0.34995884682605954,312.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.02,0.5657051282051282,0.31946463218376,0.2984511986041087,0.1393311828421597,0.3878120342671441,0.2324434607737569,0.2214086000584416,0.1605495084315737,0.5943266584498658,0.32388397346344594,624.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.03,0.6137334887334888,0.28388517843153105,0.30341205337399163,0.1213554733139614,0.42698398982544855,0.22382417507024935,0.22436244393972726,0.12835372052225943,0.6448358200099862,0.2690657064588334,936.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.05,0.6837412587412588,0.1998512498953981,0.30020459723147624,0.0961089256519832,0.482129605462583,0.17778703891529538,0.22128695179651847,0.06643154761270263,0.723041112712809,0.16566557561728068,1560.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.08,0.7227928321678322,0.16729230822699145,0.28289002420707027,0.06615112278270192,0.5398709318596775,0.17761759884122535,0.2193937130054044,0.0527500244531242,0.7544313610562664,0.13376646867063663,2496.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.1,0.7356060606060606,0.15669743330561092,0.28043121538658,0.0690979057707468,0.5534643450993618,0.17926981612631696,0.2257697100755169,0.056345262896610175,0.7641503346940105,0.12264128823017459,3120.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.2,0.7334061771561772,0.14616755804079395,0.2774710293497186,0.043848166258579555,0.5675512584699365,0.15365683958356455,0.23275939261506398,0.028674367529479553,0.7543447767243411,0.1088684866720485,6240.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
drf_de_margin,extrapolation,0.3,0.713432400932401,0.14467821612755086,0.2679467352954485,0.0288070990271804,0.5595383049716797,0.12559685502037551,0.2240552456883108,0.019499911763644705,0.7275005622209264,0.10871631819208107,9360.0,0.0,50.81818181818182,23.79839566785199,13720.0,0.0,32.64123968644576,2.50809673107351
