Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,n_features,train_time
1.0,1.0,0.0,1.0,1.0,0,interpolation,meta_information_tensor_margin,0.01,80,77,5.372445821762085
1.0,1.0,0.0,1.0,1.0,0,interpolation,meta_information_tensor_margin,0.02,160,77,5.372445821762085
1.0,1.0,1.0,1.0,1.0,0,interpolation,meta_information_tensor_margin,0.03,240,77,5.372445821762085
1.0,1.0,1.0,1.0,1.0,0,interpolation,meta_information_tensor_margin,0.05,400,77,5.372445821762085
0.996875,0.75,0.918877259902543,0.7496019108280254,0.9953149880573248,0,interpolation,meta_information_tensor_margin,0.08,640,77,5.372445821762085
0.99375,0.75,0.8969144475601178,0.7491951062459755,0.9906350611719253,0,interpolation,meta_information_tensor_margin,0.1,800,77,5.372445821762085
0.979375,0.5727272727272728,0.8027195864788821,0.5831969414008962,0.9709121394163333,0,interpolation,meta_information_tensor_margin,0.2,1600,77,5.372445821762085
0.9491666666666667,0.43715938178998004,0.7617434301738151,0.45988022270509515,0.9303842260252723,0,interpolation,meta_information_tensor_margin,0.3,2400,77,5.372445821762085
0.9034375,0.4063998323234134,0.7016485229619193,0.4251386711230541,0.8678552064148848,0,interpolation,meta_information_tensor_margin,0.4,3200,77,5.372445821762085
0.849,0.3869537458149343,0.6384447073855385,0.4328662006356898,0.7952569000476557,0,interpolation,meta_information_tensor_margin,0.5,4000,77,5.372445821762085
0.70625,0.39376081061128104,0.46341058241438027,0.4291383420584197,0.6735773907229321,0,interpolation,meta_information_tensor_full,1.0,8000,77,5.372445821762085
0.9411764705882353,0.5,0.24178493487476022,0.4923954372623574,0.9126593603220755,0,extrapolation,meta_information_tensor_margin,0.01,272,77,5.372445821762085
0.9558823529411765,0.6,0.33163233703794354,0.5954631379962192,0.9343239186033582,0,extrapolation,meta_information_tensor_margin,0.02,544,77,5.372445821762085
0.9669117647058824,0.6,0.5346624785415256,0.5965887555274795,0.9506498272082049,0,extrapolation,meta_information_tensor_margin,0.03,816,77,5.372445821762085
0.9720588235294118,0.5,0.5925181539070009,0.49359821563353945,0.9582879218194362,0,extrapolation,meta_information_tensor_margin,0.05,1360,77,5.372445821762085
0.9692095588235294,0.35714285714285715,0.5915635878287802,0.3767007428577801,0.9543616951229991,0,extrapolation,meta_information_tensor_margin,0.08,2176,77,5.372445821762085
0.9705882352941176,0.33333333333333337,0.6393593013484865,0.35370414674513817,0.9564703867917713,0,extrapolation,meta_information_tensor_margin,0.1,2720,77,5.372445821762085
0.9459558823529411,0.24555520691804103,0.6355356508423181,0.23834931370290022,0.9228778572657513,0,extrapolation,meta_information_tensor_margin,0.2,5440,77,5.372445821762085
0.9329656862745098,0.2509375561517847,0.6873907591034529,0.25170052784328595,0.9052772734414671,0,extrapolation,meta_information_tensor_margin,0.3,8160,77,5.372445821762085
0.9227941176470589,0.2258351447747379,0.712125268178899,0.23149103316953673,0.8926220672495385,0,extrapolation,meta_information_tensor_margin,0.4,10880,77,5.372445821762085
0.9060294117647059,0.2329554383191578,0.7154573821883661,0.253205503987967,0.8723718924751755,0,extrapolation,meta_information_tensor_margin,0.5,13600,77,5.372445821762085
0.6846691176470588,0.19950297234217407,0.46432388966834603,0.2007205004330963,0.6320081806159987,0,extrapolation,meta_information_tensor_full,1.0,27200,77,5.372445821762085
1.0,1.0,1.0,1.0,1.0,1,interpolation,meta_information_tensor_margin,0.01,80,77,5.7103118896484375
1.0,1.0,1.0,1.0,1.0,1,interpolation,meta_information_tensor_margin,0.02,160,77,5.7103118896484375
1.0,1.0,1.0,1.0,1.0,1,interpolation,meta_information_tensor_margin,0.03,240,77,5.7103118896484375
0.9975,0.75,0.9890338590768687,0.7496413199426112,0.9962517934002869,1,interpolation,meta_information_tensor_margin,0.05,400,77,5.7103118896484375
0.9875,0.49812734082397,0.9522782532918457,0.4962875862635557,0.9820701937592424,1,interpolation,meta_information_tensor_margin,0.08,640,77,5.7103118896484375
0.9875,0.4569209039548023,0.9541608395003697,0.4725232334953284,0.9824544583980587,1,interpolation,meta_information_tensor_margin,0.1,800,77,5.7103118896484375
0.975625,0.43566592706377655,0.9086833345482342,0.4643175753556598,0.9661817246171596,1,interpolation,meta_information_tensor_margin,0.2,1600,77,5.7103118896484375
0.9545833333333333,0.34772038175544007,0.8379825016818008,0.37827425040144264,0.9402243611370962,1,interpolation,meta_information_tensor_margin,0.3,2400,77,5.7103118896484375
0.930625,0.34792438870313513,0.771075777059922,0.38356011520310335,0.9127913083162573,1,interpolation,meta_information_tensor_margin,0.4,3200,77,5.7103118896484375
0.9,0.34689348646949025,0.7133221343370653,0.38251659922248027,0.879210651211843,1,interpolation,meta_information_tensor_margin,0.5,4000,77,5.7103118896484375
0.720125,0.34490147615261435,0.47161293823617495,0.36862132427947797,0.7135411241397024,1,interpolation,meta_information_tensor_full,1.0,8000,77,5.7103118896484375
0.9485294117647058,0.5,0.6696496943811827,0.4930830039525692,0.9235061613578237,1,extrapolation,meta_information_tensor_margin,0.01,272,77,5.7103118896484375
0.9540441176470589,0.5,0.6662633266813174,0.48830369357045145,0.9316065824414581,1,extrapolation,meta_information_tensor_margin,0.02,544,77,5.7103118896484375
0.9607843137254902,0.6,0.6686547746381195,0.5922134701105208,0.9415691632334682,1,extrapolation,meta_information_tensor_margin,0.03,816,77,5.7103118896484375
0.9654411764705882,0.5714285714285714,0.699577761554711,0.5914060826729493,0.9493584562760637,1,extrapolation,meta_information_tensor_margin,0.05,1360,77,5.7103118896484375
0.9692095588235294,0.5972222222222222,0.7438901995726669,0.6160837402124743,0.9549059304590026,1,extrapolation,meta_information_tensor_margin,0.08,2176,77,5.7103118896484375
0.9702205882352941,0.4957983193277311,0.7695174859337084,0.5131137691876639,0.9566315209769477,1,extrapolation,meta_information_tensor_margin,0.1,2720,77,5.7103118896484375
