Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,n_features,knn,train_time
0.9875,0.6666666666666666,0.8897142494264949,0.6644591611479028,0.9812913907284768,1,interpolation,graph_feature_margin,0.01,80,62,8,1.958878755569458
0.95625,0.48958333333333337,0.8560332323460619,0.4839442355889724,0.9379229323308269,1,interpolation,graph_feature_margin,0.02,160,62,8,1.958878755569458
0.9458333333333333,0.3823076923076923,0.8189483309604296,0.37991549295774646,0.9275616197183099,1,interpolation,graph_feature_margin,0.03,240,62,8,1.958878755569458
0.9475,0.27542385687086346,0.8232136138091748,0.2739310963977107,0.9280400628436763,1,interpolation,graph_feature_margin,0.05,400,62,8,1.958878755569458
0.95625,0.2790940031926749,0.8478817776857929,0.27668215947773583,0.9387029246691059,1,interpolation,graph_feature_margin,0.08,640,62,8,1.958878755569458
0.95,0.2789437671931074,0.8276733394284355,0.2758710887688488,0.9293240598087676,1,interpolation,graph_feature_margin,0.1,800,62,8,1.958878755569458
0.935,0.283862635209618,0.7910367274497574,0.3095516907341997,0.9134126633666795,1,interpolation,graph_feature_margin,0.2,1600,62,8,1.958878755569458
0.9004166666666666,0.2816243022453166,0.7062946930811858,0.3093328424513567,0.8728201169215879,1,interpolation,graph_feature_margin,0.3,2400,62,8,1.958878755569458
0.85625,0.28110928950749037,0.6267316701880137,0.310541105118291,0.8237144612252032,1,interpolation,graph_feature_margin,0.4,3200,62,8,1.958878755569458
0.81525,0.30344811414903405,0.582477006972223,0.3307295301992541,0.7915116710578217,1,interpolation,graph_feature_margin,0.5,4000,62,8,1.958878755569458
0.621625,0.33753478357514966,0.36115044882926145,0.33413240735431166,0.6381459700954853,1,interpolation,graph_feature_full,1.0,8000,62,8,1.958878755569458
0.9595588235294118,0.25,0.0,0.2448405253283302,0.9397555457455027,1,extrapolation,graph_feature_margin,0.01,272,62,8,1.958878755569458
0.9558823529411765,0.4,0.1985947122723342,0.3954802259887006,0.9343220338983051,1,extrapolation,graph_feature_margin,0.02,544,62,8,1.958878755569458
0.9583333333333334,0.4,0.1678849661249277,0.39573934837092734,0.9379438178780285,1,extrapolation,graph_feature_margin,0.03,816,62,8,1.958878755569458
0.9573529411764706,0.25,0.18077988500404865,0.27563581640331075,0.937377063692294,1,extrapolation,graph_feature_margin,0.05,1360,62,8,1.958878755569458
0.9540441176470589,0.19999999999999998,0.26894897546714314,0.22111734212098438,0.9331842510375253,1,extrapolation,graph_feature_margin,0.08,2176,62,8,1.958878755569458
0.9566176470588236,0.1978021978021978,0.27626534612524795,0.21904282900133523,0.9370432109723055,1,extrapolation,graph_feature_margin,0.1,2720,62,8,1.958878755569458
0.9308823529411765,0.1666417066027689,0.3504765646277248,0.18143186054837476,0.9030145002799461,1,extrapolation,graph_feature_margin,0.2,5440,62,8,1.958878755569458
0.9079656862745098,0.16129208294688344,0.4827304518217588,0.17185809816734737,0.8738488924239698,1,extrapolation,graph_feature_margin,0.3,8160,62,8,1.958878755569458
0.8787683823529412,0.18122286049137126,0.5414786737622841,0.19481663817417363,0.8345580284650346,1,extrapolation,graph_feature_margin,0.4,10880,62,8,1.958878755569458
0.8102205882352941,0.1909324823400321,0.5082938616025106,0.18213846196215425,0.7476771379655026,1,extrapolation,graph_feature_margin,0.5,13600,62,8,1.958878755569458
0.6036397058823529,0.19421099232786754,0.3657373753835388,0.15617697199023775,0.5790284171611711,1,extrapolation,graph_feature_full,1.0,27200,62,8,1.958878755569458
0.9875,0.5,0.0,0.4968553459119497,0.9812893081761006,2,interpolation,graph_feature_margin,0.01,80,62,8,1.727320671081543
0.99375,0.5,0.0,0.49843260188087773,0.9906347962382445,2,interpolation,graph_feature_margin,0.02,160,62,8,1.727320671081543
0.9833333333333333,0.6666666666666666,0.4464702165707254,0.6638537271448665,0.975070323488045,2,interpolation,graph_feature_margin,0.03,240,62,8,1.727320671081543
0.9825,0.5,0.4700891072994813,0.4977820025348543,0.97382762991128,2,interpolation,graph_feature_margin,0.05,400,62,8,1.727320671081543
0.9546875,0.27272727272727276,0.5008797704490647,0.27554612421735547,0.9333090354338325,2,interpolation,graph_feature_margin,0.08,640,62,8,1.727320671081543
0.94,0.28044871794871795,0.49350546750998137,0.28373756973077857,0.9127397071307302,2,interpolation,graph_feature_margin,0.1,800,62,8,1.727320671081543
0.914375,0.25852981969486827,0.46991579078940776,0.2646734377798615,0.8769001055571946,2,interpolation,graph_feature_margin,0.2,1600,62,8,1.727320671081543
0.9066666666666666,0.26923514658621467,0.5564885209043027,0.2698171670896825,0.866089302744064,2,interpolation,graph_feature_margin,0.3,2400,62,8,1.727320671081543
0.8721875,0.28484397418822566,0.5228218115963558,0.29264568358586335,0.8380331349564365,2,interpolation,graph_feature_margin,0.4,3200,62,8,1.727320671081543
0.824,0.3836651077161083,0.4779795307952572,0.4157400787321754,0.8033805123365254,2,interpolation,graph_feature_margin,0.5,4000,62,8,1.727320671081543
0.632875,0.3394712327979858,0.3634486511049493,0.33736007859120754,0.6523347214144356,2,interpolation,graph_feature_full,1.0,8000,62,8,1.727320671081543
0.9852941176470589,0.5,0.0,0.4962962962962963,0.9779956427015251,2,extrapolation,graph_feature_margin,0.01,272,62,8,1.727320671081543
0.9816176470588235,0.3333333333333333,0.0,0.3302411873840445,0.9725117319655135,2,extrapolation,graph_feature_margin,0.02,544,62,8,1.727320671081543
0.9791666666666666,0.2,0.0,0.19789473684210526,0.968859649122807,2,extrapolation,graph_feature_margin,0.03,816,62,8,1.727320671081543
0.9625,0.16483516483516483,0.19224047242879286,0.17821852943804162,0.945187249383806,2,extrapolation,graph_feature_margin,0.05,1360,62,8,1.727320671081543
0.9480698529411765,0.15,0.23765833465585492,0.16332347140039447,0.9249438377421975,2,extrapolation,graph_feature_margin,0.08,2176,62,8,1.727320671081543
0.9419117647058823,0.1556122448979592,0.26090710161183256,0.17042414681141616,0.9164163952032682,2,extrapolation,graph_feature_margin,0.1,2720,62,8,1.727320671081543
0.9240808823529412,0.15734265734265734,0.27941503861132255,0.17144470642329368,0.8918046185408691,2,extrapolation,graph_feature_margin,0.2,5440,62,8,1.727320671081543
0.9149509803921568,0.1960905119300997,0.35193675219241627,0.22547111675781548,0.8804557329502775,2,extrapolation,graph_feature_margin,0.3,8160,62,8,1.727320671081543
0.8873161764705882,0.21638035970244263,0.4634094788531685,0.2491267105708759,0.8455210653268254,2,extrapolation,graph_feature_margin,0.4,10880,62,8,1.727320671081543
0.8453676470588235,0.23942596170672512,0.566818308121598,0.2571305216357986,0.79390852073509,2,extrapolation,graph_feature_margin,0.5,13600,62,8,1.727320671081543
0.64375,0.23911576439520169,0.4217319577606891,0.20048233499955684,0.6210796887890707,2,extrapolation,graph_feature_full,1.0,27200,62,8,1.727320671081543
1.0,1.0,0.0,1.0,1.0,3,interpolation,graph_feature_margin,0.01,80,62,8,1.7360749244689941
1.0,1.0,0.0,1.0,1.0,3,interpolation,graph_feature_margin,0.02,160,62,8,1.7360749244689941
0.9875,0.5,0.0,0.4968553459119497,0.9812893081761006,3,interpolation,graph_feature_margin,0.03,240,62,8,1.7360749244689941
0.985,0.6666666666666666,0.671868491185451,0.6641156462585034,0.9775573979591836,3,interpolation,graph_feature_margin,0.05,400,62,8,1.7360749244689941
0.96875,0.3148148148148148,0.5329048669928901,0.30460208492245106,0.954233409610984,3,interpolation,graph_feature_margin,0.08,640,62,8,1.7360749244689941
0.9575,0.324777183600713,0.5837581271858436,0.31396534148827726,0.938012232415902,3,interpolation,graph_feature_margin,0.1,800,62,8,1.7360749244689941
0.91375,0.2772097098183454,0.6241402486967423,0.2636693595597705,0.8757540100690785,3,interpolation,graph_feature_margin,0.2,1600,62,8,1.7360749244689941
0.89375,0.2679889936858341,0.6795688469093145,0.2766869583384433,0.8495593386370045,3,interpolation,graph_feature_margin,0.3,2400,62,8,1.7360749244689941
0.8796875,0.2659130611290441,0.679665525908008,0.2745006289182734,0.8333280595737651,3,interpolation,graph_feature_margin,0.4,3200,62,8,1.7360749244689941
0.847,0.2944338456302667,0.6266644297698355,0.3165747662463754,0.8078241501835732,3,interpolation,graph_feature_margin,0.5,4000,62,8,1.7360749244689941
0.634625,0.32957728964536187,0.3650743344819404,0.3271785080441891,0.638423897905489,3,interpolation,graph_feature_full,1.0,8000,62,8,1.7360749244689941
