Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,epochs,hidden,heads,knn,train_time
0.8875,0.7261904761904762,0.7466329801498992,0.6541666666666667,0.8856249999999999,0,interpolation,resgat_margin,0.01,80,80,96,4,4,2.1499125957489014
0.85625,0.5547008547008547,0.6500381317039389,0.48067926225820967,0.8576206140350877,0,interpolation,resgat_margin,0.02,160,80,96,4,4,2.1499125957489014
0.8333333333333334,0.5425728500355366,0.5888164355099481,0.4548741482408566,0.8494478051267788,0,interpolation,resgat_margin,0.03,240,80,96,4,4,2.1499125957489014
0.84,0.5731579794079794,0.6199797973192112,0.5222747126906446,0.8644426591398897,0,interpolation,resgat_margin,0.05,400,80,96,4,4,2.1499125957489014
0.8453125,0.5707791347155163,0.6601192060719261,0.5076456251180068,0.8582207900674236,0,interpolation,resgat_margin,0.08,640,80,96,4,4,2.1499125957489014
0.84375,0.5473641230378369,0.6638016708527519,0.4892084481371204,0.8550353759421712,0,interpolation,resgat_margin,0.1,800,80,96,4,4,2.1499125957489014
0.834375,0.580346907557284,0.6756609630021978,0.5186071940420498,0.8385654670748935,0,interpolation,resgat_margin,0.2,1600,80,96,4,4,2.1499125957489014
0.8020833333333334,0.5309135485049942,0.6241040603484511,0.477338473218474,0.8159040145264781,0,interpolation,resgat_margin,0.3,2400,80,96,4,4,2.1499125957489014
0.7796875,0.5557856732544836,0.5957479823135032,0.49433773924051694,0.8001222040016788,0,interpolation,resgat_margin,0.4,3200,80,96,4,4,2.1499125957489014
0.7545,0.5409526784294743,0.5665684164601245,0.4923545446662794,0.7781143701053436,0,interpolation,resgat_margin,0.5,4000,80,96,4,4,2.1499125957489014
0.627,0.4788443796843519,0.4367775671443208,0.4069409566566529,0.6541968282642657,0,interpolation,resgat_full,1.0,8000,80,96,4,4,2.1499125957489014
0.7022058823529411,0.39863013698630134,0.5985758999194303,0.3056710962795225,0.6248555497522291,0,extrapolation,resgat_margin,0.01,272,80,96,4,4,2.1499125957489014
0.6360294117647058,0.22182254196642687,0.5423242858254945,0.15648257513392272,0.5614409569798069,0,extrapolation,resgat_margin,0.02,544,80,96,4,4,2.1499125957489014
0.6948529411764706,0.22198480531813866,0.5679029202540177,0.16047686881020215,0.6270133053221288,0,extrapolation,resgat_margin,0.03,816,80,96,4,4,2.1499125957489014
0.7529411764705882,0.2205207705183691,0.5853895636239587,0.16127016273384678,0.6967303271764381,0,extrapolation,resgat_margin,0.05,1360,80,96,4,4,2.1499125957489014
0.7559742647058824,0.21773242275063875,0.5881743512036555,0.16388474791661575,0.6979098682044728,0,extrapolation,resgat_margin,0.08,2176,80,96,4,4,2.1499125957489014
0.7386029411764706,0.21855217593108522,0.588081962752978,0.16520014541495603,0.6748158269423192,0,extrapolation,resgat_margin,0.1,2720,80,96,4,4,2.1499125957489014
0.6845588235294118,0.2684813502995321,0.5569264674132199,0.19452072014710087,0.6097679915890432,0,extrapolation,resgat_margin,0.2,5440,80,96,4,4,2.1499125957489014
0.6779411764705883,0.2465430126937824,0.5558952420700223,0.20379008210533442,0.599604846110197,0,extrapolation,resgat_margin,0.3,8160,80,96,4,4,2.1499125957489014
0.664889705882353,0.2558411133244295,0.536211092840219,0.21887722678653584,0.5900372500626155,0,extrapolation,resgat_margin,0.4,10880,80,96,4,4,2.1499125957489014
0.6502941176470588,0.24870500183521507,0.5068545173005681,0.21849924477778968,0.5814124814826034,0,extrapolation,resgat_margin,0.5,13600,80,96,4,4,2.1499125957489014
0.5825367647058823,0.1960254772084542,0.3668616527071315,0.15812669569389334,0.5490779715618624,0,extrapolation,resgat_full,1.0,27200,80,96,4,4,2.1499125957489014
1.0,1.0,1.0,1.0,1.0,1,interpolation,resgat_margin,0.01,80,80,96,4,4,1.5064775943756104
0.98125,0.6,0.7037351269931459,0.5980707395498392,0.9719654340836013,1,interpolation,resgat_margin,0.02,160,80,96,4,4,1.5064775943756104
0.9875,0.6,0.753244605792204,0.5987206823027719,0.9812899786780384,1,interpolation,resgat_margin,0.03,240,80,96,4,4,1.5064775943756104
0.9825,0.5710328452710725,0.8990684617029772,0.5496448923448334,0.9752387502456277,1,interpolation,resgat_margin,0.05,400,80,96,4,4,1.5064775943756104
0.971875,0.4663708132492893,0.872437445296275,0.4709659593280283,0.9609573938992042,1,interpolation,resgat_margin,0.08,640,80,96,4,4,1.5064775943756104
0.96875,0.46670161540851196,0.8595332578556737,0.47044565946375316,0.9569561522838294,1,interpolation,resgat_margin,0.1,800,80,96,4,4,1.5064775943756104
0.934375,0.42084380891128403,0.7859044479449635,0.4269235710647845,0.9094073102597001,1,interpolation,resgat_margin,0.2,1600,80,96,4,4,1.5064775943756104
0.9025,0.3903779348472289,0.7401421034803937,0.3997325694197962,0.8713947815882747,1,interpolation,resgat_margin,0.3,2400,80,96,4,4,1.5064775943756104
0.876875,0.3823309711985234,0.7008916416038673,0.3890377013872294,0.8418850388384584,1,interpolation,resgat_margin,0.4,3200,80,96,4,4,1.5064775943756104
