Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows
0.7659375,0.1427988813796318,-0.0066056781991379,0.1239224410344566,0.6646889930985667,2,interpolation,pdsmvknn_margin,0.4,3200
0.7405,0.1430037463427809,0.005668769829243,0.1222383110827741,0.6312851139141166,2,interpolation,pdsmvknn_margin,0.5,4000
0.644,0.137468444583425,0.1095233991257388,0.1265489573643782,0.5404894906921567,2,interpolation,pdsmvknn_full,1.0,8000
0.9558823529411764,0.2,0.0,0.1954887218045112,0.9343210968597964,2,extrapolation,pdsmvknn_margin,0.01,272
0.9485294117647058,0.1428571428571428,0.1283768187011122,0.1393464758304077,0.9252196152563104,2,extrapolation,pdsmvknn_margin,0.02,544
0.943627450980392,0.1458333333333333,0.1635777744975796,0.1493011658940862,0.9178250208638028,2,extrapolation,pdsmvknn_margin,0.03,816
0.9095588235294118,0.1398987854251012,0.1437206294351732,0.1426415185471406,0.8694288259159924,2,extrapolation,pdsmvknn_margin,0.05,1360
0.8795955882352942,0.145767716535433,0.1780810178473072,0.1504017051975733,0.8272619426521224,2,extrapolation,pdsmvknn_margin,0.08,2176
0.8713235294117647,0.1428041318308494,0.1753482611627559,0.1462690829314283,0.8156131201619423,2,extrapolation,pdsmvknn_margin,0.1,2720
0.8455882352941176,0.1184476841830697,0.2209833346451934,0.122185126767138,0.7821248938010759,2,extrapolation,pdsmvknn_margin,0.2,5440
0.8286764705882353,0.1135775395795364,0.2616831800745806,0.1167781379848122,0.7614409838320467,2,extrapolation,pdsmvknn_margin,0.3,8160
0.8134191176470589,0.1196419838007808,0.2950073726924901,0.1221276493917665,0.7431529592389279,2,extrapolation,pdsmvknn_margin,0.4,10880
0.7879411764705883,0.1238583397808204,0.3079559390363743,0.1236593012514893,0.7100915722800714,2,extrapolation,pdsmvknn_margin,0.5,13600
0.6215441176470589,0.124009716355102,0.3047410480960303,0.1152222329112987,0.5330304269598871,2,extrapolation,pdsmvknn_full,1.0,27200
0.9875,0.5,0.0,0.4968553459119497,0.9812893081761006,3,interpolation,pdsmvknn_margin,0.01,80
0.9625,0.3333333333333333,0.0,0.3269639065817409,0.944108280254777,3,interpolation,pdsmvknn_margin,0.02,160
0.9333333333333332,0.2,0.0,0.193103448275862,0.9011494252873564,3,interpolation,pdsmvknn_margin,0.03,240
0.92,0.1666666666666666,0.0,0.1597222222222222,0.8816666666666667,3,interpolation,pdsmvknn_margin,0.05,400
0.921875,0.1666666666666666,0.0,0.1598915989159891,0.884400406504065,3,interpolation,pdsmvknn_margin,0.08,640
0.9175,0.1428571428571428,0.0,0.1367107468802384,0.8780247718383312,3,interpolation,pdsmvknn_margin,0.1,800
0.896875,0.1428571428571428,0.0,0.1350906095551894,0.8481157331136738,3,interpolation,pdsmvknn_margin,0.2,1600
0.8566666666666667,0.125,0.0,0.1153500897666068,0.7905326152004788,3,interpolation,pdsmvknn_margin,0.3,2400
0.8246875,0.125,0.0,0.1129902380544613,0.7454530955643089,3,interpolation,pdsmvknn_margin,0.4,3200
0.792,0.125,0.0,0.1104910714285714,0.7000714285714286,3,interpolation,pdsmvknn_margin,0.5,4000
0.65375,0.1478485360591256,0.1853322797339297,0.1409788891431049,0.5521749892424224,3,interpolation,pdsmvknn_full,1.0,8000
0.9705882352941176,0.25,0.0,0.2462686567164179,0.9561018437225636,3,extrapolation,pdsmvknn_margin,0.01,272
0.9595588235294118,0.1666666666666666,0.0,0.1632270168855534,0.9397555457455028,3,extrapolation,pdsmvknn_margin,0.02,544
0.9607843137254902,0.1666666666666666,0.0,0.1633333333333333,0.9415686274509804,3,extrapolation,pdsmvknn_margin,0.03,816
0.9558823529411764,0.1666666666666666,0.0,0.162907268170426,0.9343210968597964,3,extrapolation,pdsmvknn_margin,0.05,1360
0.9402573529411764,0.1666666666666666,0.0,0.1615348176219801,0.9113058001504724,3,extrapolation,pdsmvknn_margin,0.08,2176
0.936029411764706,0.1428571428571428,0.0,0.1381368346807009,0.9051009807645048,3,extrapolation,pdsmvknn_margin,0.1,2720
