method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std,synthetic_rows_mean,synthetic_rows_std
mscgan_mscnn_full,extrapolation,1.0,0.6418348930481284,0.030812049944009295,0.301815407598835,0.02399927346826372,0.459425039590938,0.03410191085654357,0.21303543152037677,0.01644221849325119,0.6306118157935802,0.02496414525214545,27200.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_full,interpolation,1.0,0.5853977272727273,0.040443240248750886,0.4432397224389659,0.045567686071398106,0.384838117331289,0.04613598055325932,0.34989059478621715,0.03965882231018803,0.6237199964662019,0.037155981364137516,8000.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.01,0.7697192513368983,0.21578265904670332,0.4724667033430547,0.1442548122866492,0.5831952127477128,0.21249686156450023,0.40702374811705316,0.17533600535871546,0.7596657940772275,0.20497230499199298,272.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.02,0.8006350267379679,0.13205737943304843,0.41855458170626925,0.054497532130869095,0.5654074446646152,0.11636691970421648,0.32998927589500054,0.06342302283361664,0.7909497475263922,0.12556238154430724,544.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.03,0.8104946524064172,0.10195352645394073,0.4176839645653405,0.040394933401852406,0.5822121478063734,0.06748517537948544,0.3326664335635901,0.03765800152716206,0.7940149514687614,0.10760511643802384,816.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.05,0.8217914438502674,0.08431183412047641,0.4161208051922186,0.0822196493248424,0.6108207595730539,0.06815124371191136,0.32933391840641363,0.059711771422753884,0.8007170668657277,0.09194711431152729,1360.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.08,0.8367312834224598,0.08582464744045816,0.4074767931796194,0.06937424413283037,0.6469069399159669,0.11266193581892853,0.3230638833703305,0.05518894451078129,0.8155768775577665,0.08704070196349532,2176.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.1,0.8397727272727273,0.08375139087923093,0.401690905785917,0.07466369119320541,0.6528114234126096,0.1255722303416553,0.3182651290733359,0.06279772271463033,0.8187017546147615,0.08298198239105195,2720.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.2,0.8386864973262033,0.06866124360988743,0.3682101906953465,0.051491656319900554,0.6736807424554738,0.08966041205212301,0.2951776513205252,0.03991607412261368,0.8161620119185083,0.0689895687710203,5440.0,0.0,3129.7272727272725,157.15475869924583
mscgan_mscnn_margin,extrapolation,0.3,0.8218360071301248,0.05636540391051212,0.3704700077762354,0.04721930684198606,0.6663115984625468,0.05093882877102558,0.2905539160509967,0.03703034650644512,0.7957977055419012,0.06072159106193284,8160.0,0.0,3129.7272727272725,157.15475869924583
