method,split,coverage,Accuracy_mean,Accuracy_std,Balanced Accuracy_mean,Balanced Accuracy_std,MCC_mean,MCC_std,F1_macro_mean,F1_macro_std,F1_weighted_mean,F1_weighted_std,kept_rows_mean,kept_rows_std,synthetic_rows_mean,synthetic_rows_std
deepforest_kmeans_smote_full,extrapolation,1.0,0.6763201871657754,0.010681313904891205,0.20742109729954555,0.01741474166789393,0.4278686351514603,0.026012339864876867,0.18083085566357415,0.01394973411525988,0.6031400645464337,0.01541528899248464,27200.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_full,interpolation,1.0,0.6853863636363636,0.039376287857726566,0.3345008184560255,0.030225449462940115,0.3743250066817241,0.046577518768393576,0.3355212498799006,0.03585599550789316,0.6362941184857587,0.04912834816120297,8000.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.01,0.9344919786096256,0.02921895356719896,0.3437229437229437,0.13606168038769673,0.29776636536795986,0.30262828679031983,0.33973335631942203,0.13972876852339808,0.9033934646790894,0.04309728779643887,272.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.02,0.9296457219251337,0.03750262127778877,0.3650152135087809,0.16863655151934415,0.4022866769813449,0.30714315527908304,0.36785073708337246,0.1655488022577974,0.8972550230058937,0.054678260978401796,544.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.03,0.9312611408199644,0.02949566538793121,0.38623087213367396,0.1562767647060929,0.5117478203570882,0.2553946325780127,0.39486827924909296,0.16747947599814736,0.900667082410704,0.04293875444585067,816.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.05,0.9283422459893049,0.02325753690662873,0.35856685812342587,0.10268492573793749,0.5956455277104358,0.17131164268346147,0.36368635739622573,0.10290154198093882,0.8980304376270105,0.03311522128216342,1360.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.08,0.9235879010695188,0.02367516725807076,0.3494755938096081,0.06648676787076431,0.600137570339034,0.11250585783904497,0.3563690765155912,0.058249611683256625,0.8930988168512748,0.03189367739127433,2176.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.1,0.9189171122994654,0.022176380161236395,0.3262210822254532,0.05706330946574703,0.5781936954634425,0.1159648153422017,0.34077380862452383,0.05612689582716231,0.8870304005455235,0.029698750537897816,2720.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.2,0.9127506684491979,0.018476646526163355,0.29728120741795583,0.0451256150447514,0.5584583447461461,0.08769898864342866,0.31359621287095946,0.05003916611768571,0.8796904425712344,0.02441623208533322,5440.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.3,0.9054367201426025,0.014506436820261195,0.2848984865795958,0.042108677308770937,0.5535611498678302,0.09067250578405972,0.30161706996824145,0.04767621042800361,0.8709386245757805,0.019094939731825664,8160.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.4,0.8925050133689839,0.014529233361082371,0.2650435989019566,0.04036265631442526,0.5526142367415128,0.08042668720970617,0.2802320370204454,0.04759349487792428,0.8553405214820029,0.018790334061893694,10880.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,extrapolation,0.5,0.8738101604278075,0.013110515495055238,0.24478993884733402,0.03394089719770304,0.5503784390211999,0.07168001725866321,0.25679484782295964,0.03603712248114249,0.8324780763357904,0.01763052578640274,13600.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,interpolation,0.01,0.9261363636363636,0.0783530761709746,0.4763667519349337,0.1294300963878565,0.18123093614376637,0.2948369264998497,0.4324616162757138,0.14148591198363278,0.8946004469099326,0.11134963256950033,80.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,interpolation,0.02,0.9107954545454546,0.05876933917675718,0.37453295772261286,0.12973484945213412,0.15363419389901561,0.21669697460967838,0.3366136828781468,0.12982632242318956,0.8710028891946046,0.08438439061431915,160.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,interpolation,0.03,0.9049242424242425,0.055553345915653404,0.3749234115858893,0.13622101011711868,0.3048638089274777,0.32945364151557066,0.355259745622841,0.15681148517711502,0.8661339986625709,0.07951977269393683,240.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,interpolation,0.05,0.8899999999999999,0.06259992012774455,0.4282213276867984,0.14027649695720193,0.4309360840953389,0.30736764159732094,0.4127125476172806,0.16444727828041572,0.8490382519131073,0.08429774398101034,400.0,0.0,21596.545454545456,0.8201995322647884
deepforest_kmeans_smote_margin,interpolation,0.08,0.8901988636363637,0.054289133481798604,0.5214470931077013,0.12769990636250939,0.5787614865860772,0.19421955483745867,0.48336825413467394,0.11908155795025678,0.8570859425338281,0.07108056351620948,640.0,0.0,21596.545454545456,0.8201995322647884
