Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,n_features,train_time
1.0,1.0,0.0,1.0,1.0,0,interpolation,integrated_logging_features_margin,0.01,80,75,4.199103116989136
1.0,1.0,0.0,1.0,1.0,0,interpolation,integrated_logging_features_margin,0.02,160,75,4.199103116989136
1.0,1.0,0.0,1.0,1.0,0,interpolation,integrated_logging_features_margin,0.03,240,75,4.199103116989136
1.0,1.0,0.0,1.0,1.0,0,interpolation,integrated_logging_features_margin,0.05,400,75,4.199103116989136
1.0,1.0,1.0,1.0,1.0,0,interpolation,integrated_logging_features_margin,0.08,640,75,4.199103116989136
1.0,1.0,1.0,1.0,1.0,0,interpolation,integrated_logging_features_margin,0.1,800,75,4.199103116989136
0.991875,0.4985754985754986,0.9519651916599154,0.4959685387547403,0.9881534739464884,0,interpolation,integrated_logging_features_margin,0.2,1600,75,4.199103116989136
0.9725,0.4303301165427411,0.9027015211323322,0.4386061894536068,0.961716948050071,0,interpolation,integrated_logging_features_margin,0.3,2400,75,4.199103116989136
0.923125,0.5436851380713521,0.7924416864618298,0.5872901116890998,0.8940890828454551,0,interpolation,integrated_logging_features_margin,0.4,3200,75,4.199103116989136
0.8685,0.5371357051264811,0.6951611231419266,0.5997592357510598,0.8268982448802779,0,interpolation,integrated_logging_features_margin,0.5,4000,75,4.199103116989136
0.69425,0.4106587301275791,0.4508063651658558,0.4341645216990795,0.6667811110518088,0,interpolation,integrated_logging_features_full,1.0,8000,75,4.199103116989136
0.9742647058823528,0.6666666666666666,0.3529991523812659,0.6623052959501557,0.9615654205607476,0,extrapolation,integrated_logging_features_margin,0.01,272,75,4.199103116989136
0.9797794117647058,0.6666666666666666,0.7184085182385859,0.663184552073441,0.9697747332551254,0,extrapolation,integrated_logging_features_margin,0.02,544,75,4.199103116989136
0.9779411764705882,0.5,0.7118821096277921,0.4971446700507614,0.9670377351448194,0,extrapolation,integrated_logging_features_margin,0.03,816,75,4.199103116989136
0.9808823529411764,0.4,0.7996396216323137,0.3960128459086416,0.9714157983753704,0,extrapolation,integrated_logging_features_margin,0.05,1360,75,4.199103116989136
0.9756433823529412,0.3610295716460099,0.7686986945857994,0.3657707195651485,0.9643696006095516,0,extrapolation,integrated_logging_features_margin,0.08,2176,75,4.199103116989136
0.9694852941176472,0.3142291819775001,0.7507302280154435,0.3150221277765515,0.955632777603502,0,extrapolation,integrated_logging_features_margin,0.1,2720,75,4.199103116989136
0.939154411764706,0.2792423152537217,0.7066630955593605,0.2698784915017476,0.914483608651402,0,extrapolation,integrated_logging_features_margin,0.2,5440,75,4.199103116989136
0.9377450980392156,0.2536122755599429,0.7635237104425212,0.2551182695538401,0.9121272201563468,0,extrapolation,integrated_logging_features_margin,0.3,8160,75,4.199103116989136
0.9203125,0.2051615361144723,0.7485801830969762,0.2066134205484497,0.8895871217158264,0,extrapolation,integrated_logging_features_margin,0.4,10880,75,4.199103116989136
0.8913970588235294,0.2401195768728749,0.7052314153466938,0.2492976513789975,0.8531744107493252,0,extrapolation,integrated_logging_features_margin,0.5,13600,75,4.199103116989136
0.678235294117647,0.2151934039403828,0.4550666263223414,0.1982081203454268,0.6221751890924445,0,extrapolation,integrated_logging_features_full,1.0,27200,75,4.199103116989136
1.0,1.0,1.0,1.0,1.0,1,interpolation,integrated_logging_features_margin,0.01,80,75,4.449583530426025
1.0,1.0,1.0,1.0,1.0,1,interpolation,integrated_logging_features_margin,0.02,160,75,4.449583530426025
1.0,1.0,1.0,1.0,1.0,1,interpolation,integrated_logging_features_margin,0.03,240,75,4.449583530426025
1.0,1.0,1.0,1.0,1.0,1,interpolation,integrated_logging_features_margin,0.05,400,75,4.449583530426025
0.996875,0.7473958333333334,0.9880753385111594,0.7482298448638937,0.9960925425271924,1,interpolation,integrated_logging_features_margin,0.08,640,75,4.449583530426025
0.99625,0.7480916030534351,0.986665590725168,0.7484795049337047,0.995001825168936,1,interpolation,integrated_logging_features_margin,0.1,800,75,4.449583530426025
0.974375,0.5224470937017062,0.9159173652015556,0.5710720831096108,0.9692839558039198,1,interpolation,integrated_logging_features_margin,0.2,1600,75,4.449583530426025
0.9520833333333332,0.4416613143850011,0.8415793945071237,0.4746917260114975,0.9489165843284404,1,interpolation,integrated_logging_features_margin,0.3,2400,75,4.449583530426025
0.931875,0.400618727074581,0.786746903827819,0.4205216653086768,0.9259698683373268,1,interpolation,integrated_logging_features_margin,0.4,3200,75,4.449583530426025
0.8965,0.4181729607840102,0.7102458192579215,0.4257687963911943,0.8839783448341693,1,interpolation,integrated_logging_features_margin,0.5,4000,75,4.449583530426025
0.710375,0.3992202722481981,0.4674697644064922,0.4126422662031658,0.7132691600565767,1,interpolation,integrated_logging_features_full,1.0,8000,75,4.449583530426025
0.9963235294117648,0.6666666666666666,0.9618964813845684,0.6660219213410703,0.9944888496984868,1,extrapolation,integrated_logging_features_margin,0.01,272,75,4.449583530426025
0.9926470588235294,0.5,0.8915881777624797,0.4990494296577946,0.9889845672109148,1,extrapolation,integrated_logging_features_margin,0.02,544,75,4.449583530426025
0.9889705882352942,0.4,0.8441757801938274,0.3947294524246679,0.9834938025323532,1,extrapolation,integrated_logging_features_margin,0.03,816,75,4.449583530426025
0.9889705882352942,0.3333333333333333,0.840304147074359,0.3260787918322165,0.9835189991314084,1,extrapolation,integrated_logging_features_margin,0.05,1360,75,4.449583530426025
0.9797794117647058,0.3571428571428571,0.8075127212603944,0.3731383892771222,0.9702853330837148,1,extrapolation,integrated_logging_features_margin,0.08,2176,75,4.449583530426025
0.9650735294117648,0.3076923076923077,0.7503862243026402,0.3108166776451078,0.9494537939338222,1,extrapolation,integrated_logging_features_margin,0.1,2720,75,4.449583530426025
0.9386029411764706,0.3427523649862292,0.7072518606269974,0.3358163227448448,0.9135981770332068,1,extrapolation,integrated_logging_features_margin,0.2,5440,75,4.449583530426025
0.9393382352941176,0.3199074125290595,0.7432952102128778,0.3184059505205446,0.9140343430224216,1,extrapolation,integrated_logging_features_margin,0.3,8160,75,4.449583530426025
0.9287683823529412,0.302561222748603,0.7457106545738251,0.3024216499257455,0.9003792652551635,1,extrapolation,integrated_logging_features_margin,0.4,10880,75,4.449583530426025
0.8966176470588235,0.2758661707054919,0.6985610864330113,0.2710476894145023,0.8582185358892899,1,extrapolation,integrated_logging_features_margin,0.5,13600,75,4.449583530426025
0.67875,0.2362477450885606,0.4573145413391761,0.2047123297371585,0.6220979755244835,1,extrapolation,integrated_logging_features_full,1.0,27200,75,4.449583530426025
0.975,0.6,0.7025884807256718,0.5974025974025974,0.9626623376623376,2,interpolation,integrated_logging_features_margin,0.01,80,75,4.499236345291138
0.98125,0.6,0.7037351269931459,0.5980707395498392,0.9719654340836013,2,interpolation,integrated_logging_features_margin,0.02,160,75,4.499236345291138
0.9833333333333332,0.6,0.7041137231752231,0.5982905982905983,0.9750712250712252,2,interpolation,integrated_logging_features_margin,0.03,240,75,4.499236345291138
0.955,0.5,0.5252971215001843,0.49609375,0.93302734375,2,interpolation,integrated_logging_features_margin,0.05,400,75,4.499236345291138
0.953125,0.5,0.5457466273358295,0.4959150326797386,0.9302619485294118,2,interpolation,integrated_logging_features_margin,0.08,640,75,4.499236345291138
0.9525,0.4285714285714285,0.6235270005671735,0.4249811035525321,0.9293468915343917,2,interpolation,integrated_logging_features_margin,0.1,800,75,4.499236345291138
0.958125,0.4805900621118012,0.7613117099690371,0.5102439400649248,0.9384762523156552,2,interpolation,integrated_logging_features_margin,0.2,1600,75,4.499236345291138
