Accuracy,Balanced Accuracy,MCC,F1_macro,F1_weighted,seed,split,method,coverage,kept_rows,window,epochs,hidden,synthetic_rows,train_time
0.8671875,0.4557789060084527,0.7199859237514075,0.3850565156290462,0.8276115346252899,1,extrapolation,mscgan_mscnn_margin,0.08,2176,31,8,96,3051,2.1203970909118652
0.8786764705882353,0.414755648270141,0.7551800606273614,0.3550260633477943,0.8416083731694282,1,extrapolation,mscgan_mscnn_margin,0.1,2720,31,8,96,3051,2.1203970909118652
0.8735294117647059,0.3578971108423992,0.7614887356161387,0.30703086028636745,0.8409942853977389,1,extrapolation,mscgan_mscnn_margin,0.2,5440,31,8,96,3051,2.1203970909118652
0.8375,0.36666118710171935,0.7071677862805744,0.30218137099427034,0.7986658042672649,1,extrapolation,mscgan_mscnn_margin,0.3,8160,31,8,96,3051,2.1203970909118652
0.8139705882352941,0.3692899882804246,0.6715470403759581,0.28617515983572095,0.7783302115686271,1,extrapolation,mscgan_mscnn_margin,0.4,10880,31,8,96,3051,2.1203970909118652
0.7880147058823529,0.33244063361802195,0.6321400657817501,0.2534181086281892,0.7560911158521777,1,extrapolation,mscgan_mscnn_margin,0.5,13600,31,8,96,3051,2.1203970909118652
0.6570220588235294,0.3067213771868829,0.46711615950775265,0.2156975547609995,0.6375454623221161,1,extrapolation,mscgan_mscnn_full,1.0,27200,31,8,96,3051,2.1203970909118652
0.9625,0.9858490566037736,0.9311907656451224,0.9712898751733703,0.9635610263522885,2,interpolation,mscgan_mscnn_margin,0.01,80,31,8,96,3146,2.0038349628448486
0.94375,0.7256410256410256,0.8949320100978091,0.724166901822009,0.9321785267581358,2,interpolation,mscgan_mscnn_margin,0.02,160,31,8,96,3146,2.0038349628448486
0.9166666666666666,0.7259713701431493,0.839650195295767,0.7054069957502451,0.895670153644982,2,interpolation,mscgan_mscnn_margin,0.03,240,31,8,96,3146,2.0038349628448486
0.89,0.7695993953136812,0.765690837544089,0.640696561303887,0.8777848600348845,2,interpolation,mscgan_mscnn_margin,0.05,400,31,8,96,3146,2.0038349628448486
0.8890625,0.6673994925839188,0.7549864093115254,0.573944177821007,0.8826146713432097,2,interpolation,mscgan_mscnn_margin,0.08,640,31,8,96,3146,2.0038349628448486
0.87125,0.6625417788888507,0.7162163645534306,0.507232732289189,0.8663991151358295,2,interpolation,mscgan_mscnn_margin,0.1,800,31,8,96,3146,2.0038349628448486
0.79375,0.6499782752725017,0.6187184979166683,0.4746698658322993,0.8045007498210822,2,interpolation,mscgan_mscnn_margin,0.2,1600,31,8,96,3146,2.0038349628448486
0.7416666666666667,0.6258557249801416,0.5686149369515562,0.46295714636448243,0.7638568582993027,2,interpolation,mscgan_mscnn_margin,0.3,2400,31,8,96,3146,2.0038349628448486
0.69625,0.5967599012538392,0.5144898210146555,0.4500857120952323,0.7326666447700374,2,interpolation,mscgan_mscnn_margin,0.4,3200,31,8,96,3146,2.0038349628448486
0.66875,0.5679006238336678,0.47833461766641655,0.4322855365528761,0.7093960236532028,2,interpolation,mscgan_mscnn_margin,0.5,4000,31,8,96,3146,2.0038349628448486
0.556375,0.44249220758735935,0.3504281694259167,0.3741737290024988,0.6027058255915173,2,interpolation,mscgan_mscnn_full,1.0,8000,31,8,96,3146,2.0038349628448486
0.9632352941176471,0.5591031390134529,0.8777095969869114,0.5584196524593876,0.9586675390142474,2,extrapolation,mscgan_mscnn_margin,0.01,272,31,8,96,3146,2.0038349628448486
0.8658088235294118,0.4132610746648529,0.720837272092748,0.3537202122920649,0.8243266580405963,2,extrapolation,mscgan_mscnn_margin,0.02,544,31,8,96,3146,2.0038349628448486
0.8149509803921569,0.41380064007493556,0.6479061841353014,0.322074712688599,0.7641939092437691,2,extrapolation,mscgan_mscnn_margin,0.03,816,31,8,96,3146,2.0038349628448486
0.8441176470588235,0.3431690364658901,0.6811593753448142,0.27801568374074315,0.7997875939219066,2,extrapolation,mscgan_mscnn_margin,0.05,1360,31,8,96,3146,2.0038349628448486
0.8625919117647058,0.3513376353285271,0.7175575284727894,0.29120776102201734,0.8210076465277313,2,extrapolation,mscgan_mscnn_margin,0.08,2176,31,8,96,3146,2.0038349628448486
0.8628676470588236,0.35777415435180404,0.7159581452019946,0.29113676506007596,0.8206836835135544,2,extrapolation,mscgan_mscnn_margin,0.1,2720,31,8,96,3146,2.0038349628448486
0.8654411764705883,0.3000597485960281,0.7226437064683984,0.2325783889588379,0.8274768601974326,2,extrapolation,mscgan_mscnn_margin,0.2,5440,31,8,96,3146,2.0038349628448486
